"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,0000;6,2844E-5;0,0000;4,2556E-5;0,0000;4,9097E-6;0,0000;6,6763E-5;0,0000;2,9397E-5;0,0000;5,6787E-6
0,0000;6,1489E-5;0,0000;4,2690E-5;0,0000;1,0000E-5;0,0000;6,7019E-5;0,0000;2,6174E-5;0,0000;3,1641E-6
0,0000;6,2869E-5;0,0000;3,8149E-5;0,0000;3,5669E-6;0,0000;6,7520E-5;0,0000;2,8835E-5;0,0000;1,7358E-6
0,0000;6,4333E-5;0,0000;3,7954E-5;0,0000;6,2769E-6;0,0000;6,5518E-5;0,0000;2,5820E-5;0,0000;2,3462E-6
0,0000;6,2124E-5;0,0000;4,0261E-5;0,0000;7,4731E-6;0,0000;6,9778E-5;0,0000;2,7810E-5;0,0000;1,8579E-6
0,0000;6,4089E-5;0,0000;4,1433E-5;0,0000;3,8232E-6;0,0000;6,5762E-5;0,0000;2,8982E-5;0,0000;3,3228E-6
0,0000;6,2234E-5;0,0000;4,1116E-5;0,0000;5,2637E-6;0,0000;6,5884E-5;0,0000;2,7468E-5;0,0000;2,3096E-6
0,0000;6,2417E-5;0,0000;3,9541E-5;0,0000;4,6045E-6;0,0000;6,8057E-5;0,0000;2,5625E-5;0,0000;3,8965E-6
4,3750E-5;6,1196E-5;0,0000;3,6892E-5;0,0000;8,3154E-6;0,0000;6,3711E-5;0,0000;2,2134E-5;0,0000;2,0654E-6
1,3125E-4;6,3687E-5;0,0000;4,1323E-5;0,0000;7,8027E-6;0,0000;6,5981E-5;0,0000;2,5125E-5;0,0000;2,6880E-6
3,0625E-4;6,1514E-5;0,0000;4,3643E-5;0,0000;5,4712E-6;0,0000;6,6213E-5;0,0000;2,3843E-5;0,0000;2,8589E-6
5,2500E-4;6,1099E-5;0,0000;3,9858E-5;0,0000;5,6543E-6;0,0000;6,5054E-5;0,0000;2,6431E-5;0,0000;9,3018E-7
7,8750E-4;6,2234E-5;0,0000;4,4570E-5;0,0000;6,1426E-6;0,0000;6,4553E-5;0,0000;2,7126E-5;0,0000;5,0439E-6
0,0010;6,4321E-5;0,0000;3,8540E-5;0,0000;7,3877E-6;0,0000;6,4407E-5;0,0000;2,3220E-5;0,0000;3,9819E-6
0,0014;6,4187E-5;0,0000;4,2886E-5;0,0000;5,1538E-6;0,0000;6,6042E-5;0,0000;2,5991E-5;0,0000;3,0298E-6
0,0019;6,2795E-5;0,0000;4,2434E-5;0,0000;7,0703E-6;0,0000;6,4431E-5;0,0000;2,4343E-5;0,0000;1,9556E-6
0,0025;6,3577E-5;0,0000;3,8857E-5;0,0000;7,4731E-6;0,0000;6,5518E-5;0,0000;2,5271E-5;0,0000;-4,4922E-7
