"Position (m) anti 05A 1.43R 1";"Magnetic Field Strength (1X) (T) anti 05A 1.43R 1";"Position (m) anti 05A 1.43R 2";"Magnetic Field Strength (1X) (T) anti 05A 1.43R 2";"Position (m) anti 05A 1.43R 3";"Magnetic Field Strength (1X) (T) anti 05A 1.43R 3";"Position (m) anti 05A 2R 1";"Magnetic Field Strength (1X) (T) anti 05A 2R 1";"Position (m) anti 05A 2R 2";"Magnetic Field Strength (1X) (T) anti 05A 2R 2";"Position (m) anti 05A 2R 1";"Magnetic Field Strength (1X) (T) anti 05A 2R 1";"Position (m) anti 05A 2.14R 1";"Magnetic Field Strength (1X) (T) anti 05A 2.14R 1";"Position (m) anti 05A 2.14R 2";"Magnetic Field Strength (1X) (T) anti 05A 2.14R 2";"Position (m) anti 05A 2.14R 3";"Magnetic Field Strength (1X) (T) anti 05A 2.14R 3";"Position (m) anti 1A 2.14R 1";"Magnetic Field Strength (1X) (T) anti 1A 2.14R 1";"Position (m) anti 1A 2.14R 2";"Magnetic Field Strength (1X) (T) anti 1A 2.14R 2";"Position (m) anti 1A 2.14R 3";"Magnetic Field Strength (1X) (T) anti 1A 2.14R 3";"Position (m) anti 1A 2R 1";"Magnetic Field Strength (1X) (T) anti 1A 2R 1";"Position (m) anti 1A 2R 2";"Magnetic Field Strength (1X) (T) anti 1A 2R 2";"Position (m) anti 1A 2R 3";"Magnetic Field Strength (1X) (T) anti 1A 2R 3";"Position (m) anti 1A 1.43R 1";"Magnetic Field Strength (1X) (T) anti 1A 1.43R 1";"Position (m) anti 05A 1.43R 2";"Magnetic Field Strength (1X) (T) anti 05A 1.43R 2";"Position (m) anti 05A 1.43R 3";"Magnetic Field Strength (1X) (T) anti 05A 1.43R 3";"Position (m) HH 1A 1R 1";"Magnetic Field Strength (1X) (T) HH 1A 1R 1";"Position (m) HH 1A 1R 2";"Magnetic Field Strength (1X) (T) HH 1A 1R 2";"Position (m) HH 1A 1R 3";"Magnetic Field Strength (1X) (T) HH 1A 1R 3";"Position (m) HH 2A 1R 1";"Magnetic Field Strength (1X) (T) HH 2A 1R 1"
0,0000;-1,4280E-5;0,0000;-7,3044E-5;0,0000;-9,6726E-5;0,0000;-1,0189E-4;0,0000;-1,7250E-4;0,0000;-2,1042E-4;0,0000;-3,0015E-5;0,0000;-1,8789E-4;0,0000;-2,3882E-4;0,0000;-3,2712E-5;0,0000;-8,2993E-5;0,0000;-1,2375E-4;0,0000;-1,3510E-4;0,0000;-1,8188E-4;0,0000;-2,4399E-4;0,0000;-1,2838E-4;0,0000;-1,5703E-4;0,0000;-1,8873E-4;0,0000;-2,5219E-4;0,0000;-3,9763E-4;0,0000;-4,3688E-4;0,0000;-3,6422E-4
0,0000;-1,6660E-5;0,0000;-7,2300E-5;0,0000;-9,5359E-5;0,0000;-1,0422E-4;0,0000;-1,7196E-4;0,0000;-2,0750E-4;0,0000;-2,7988E-5;0,0000;-1,8915E-4;0,0000;-2,3547E-4;0,0000;-3,3579E-5;0,0000;-8,3799E-5;0,0000;-1,2542E-4;0,0000;-1,3177E-4;0,0000;-1,8695E-4;0,0000;-2,4250E-4;0,0000;-1,2833E-4;0,0000;-1,5764E-4;0,0000;-1,9122E-4;0,0000;-2,5381E-4;0,0000;-3,9812E-4;0,0000;-4,4078E-4;0,0000;-3,6389E-4
0,0000;-1,5623E-5;0,0000;-7,1860E-5;0,0000;-9,7800E-5;0,0000;-1,0322E-4;0,0000;-1,6830E-4;0,0000;-2,1010E-4;0,0000;-2,9050E-5;0,0000;-1,9005E-4;0,0000;-2,3960E-4;0,0000;-3,3250E-5;0,0000;-8,2542E-5;0,0000;-1,2452E-4;0,0000;-1,3277E-4;0,0000;-1,8463E-4;0,0000;-2,4399E-4;0,0000;-1,2464E-4;0,0000;-1,5727E-4;0,0000;-1,8957E-4;0,0000;-2,4934E-4;0,0000;-3,9729E-4;0,0000;-4,4244E-4;0,0000;-3,6731E-4
0,0000;-1,6318E-5;0,0000;-7,2336E-5;0,0000;-9,6726E-5;0,0000;-1,0554E-4;0,0000;-1,7162E-4;0,0000;-2,0886E-4;0,0000;-2,5925E-5;0,0000;-1,9154E-4;0,0000;-2,3844E-4;0,0000;-3,2749E-5;0,0000;-8,4336E-5;0,0000;-1,2724E-4;0,0000;-1,3639E-4;0,0000;-1,8369E-4;0,0000;-2,4238E-4;0,0000;-1,2615E-4;0,0000;-1,5472E-4;0,0000;-1,9125E-4;0,0000;-2,5274E-4;0,0000;-4,0008E-4;0,0000;-4,3901E-4;0,0000;-3,6876E-4
0,0000;-1,6050E-5;0,0000;-7,2214E-5;0,0000;-9,7227E-5;0,0000;-1,0509E-4;0,0000;-1,6932E-4;0,0000;-2,1296E-4;0,0000;-2,6670E-5;0,0000;-1,8891E-4;0,0000;-2,4116E-4;0,0000;-3,5850E-5;0,0000;-8,3457E-5;0,0000;-1,2353E-4;0,0000;-1,3159E-4;0,0000;-1,8275E-4;0,0000;-2,3857E-4;0,0000;-1,2472E-4;0,0000;-1,5613E-4;0,0000;-1,8999E-4;0,0000;-2,5266E-4;0,0000;-3,9793E-4;0,0000;-4,4211E-4;0,0000;-3,6559E-4
0,0000;-1,4036E-5;0,0000;-7,0444E-5;0,0000;-1,0036E-4;0,0000;-1,0539E-4;0,0000;-1,6970E-4;0,0000;-2,1419E-4;0,0000;-2,7781E-5;0,0000;-1,8540E-4;0,0000;-2,3846E-4;0,0000;-3,3469E-5;0,0000;-8,3750E-5;0,0000;-1,2441E-4;0,0000;-1,3363E-4;0,0000;-1,8159E-4;0,0000;-2,4068E-4;0,0000;-1,2569E-4;0,0000;-1,5848E-4;0,0000;-1,8979E-4;0,0000;-2,5531E-4;0,0000;-3,9881E-4;0,0000;-4,4051E-4;0,0000;-3,6792E-4
0,0000;-1,6965E-5;0,0000;-7,4778E-5;0,0000;-9,7385E-5;0,0000;-1,0425E-4;0,0000;-1,7134E-4;0,0000;-2,0992E-4;0,0000;-3,1577E-5;0,0000;-1,8844E-4;0,0000;-2,4015E-4;0,0000;-3,3103E-5;0,0000;-8,2139E-5;0,0000;-1,1955E-4;0,0000;-1,3451E-4;0,0000;-1,8447E-4;0,0000;-2,4094E-4;0,0000;-1,2524E-4;0,0000;-1,5770E-4;0,0000;-1,9032E-4;0,0000;-2,5331E-4;0,0000;-3,9956E-4;0,0000;-4,4210E-4;0,0000;-3,6197E-4
0,0000;-1,6160E-5;0,0000;-7,2544E-5;0,0000;-9,5945E-5;0,0000;-1,0694E-4;0,0000;-1,7114E-4;0,0000;-2,1339E-4;0,0000;-2,7073E-5;0,0000;-1,8934E-4;0,0000;-2,4138E-4;0,0000;-3,0857E-5;0,0000;-8,3640E-5;0,0000;-1,2376E-4;0,0000;-1,3379E-4;0,0000;-1,8307E-4;0,0000;-2,4193E-4;0,0000;-1,2705E-4;0,0000;-1,5655E-4;0,0000;-1,9210E-4;0,0000;-2,5348E-4;0,0000;-3,9874E-4;0,0000;-4,3874E-4;0,0000;-3,6184E-4
0,0000;-1,7527E-5;0,0000;-7,2471E-5;0,0000;-9,7471E-5;0,0000;-1,0508E-4;0,0000;-1,7387E-4;0,0000;-2,1065E-4;0,0000;-2,7402E-5;0,0000;-1,9148E-4;0,0000;-2,3927E-4;0,0000;-3,3921E-5;0,0000;-8,2395E-5;0,0000;-1,2960E-4;0,0000;-1,3391E-4;0,0000;-1,8244E-4;0,0000;-2,4311E-4;0,0000;-1,2770E-4;0,0000;-1,5848E-4;0,0000;-1,8865E-4;0,0000;-2,5510E-4;0,0000;-3,9923E-4;0,0000;-4,3973E-4;0,0000;-3,6532E-4
0,0000;-1,6416E-5;0,0000;-7,4851E-5;0,0000;-9,5505E-5;0,0000;-1,0775E-4;0,0000;-1,7369E-4;0,0000;-2,1051E-4;0,0000;-2,7512E-5;0,0000;-1,9026E-4;0,0000;-2,3960E-4;0,0000;-3,3689E-5;0,0000;-8,3457E-5;0,0000;-1,2654E-4;0,0000;-1,3520E-4;0,0000;-1,8296E-4;0,0000;-2,4045E-4;0,0000;-1,2845E-4;0,0000;-1,6015E-4;0,0000;-1,8995E-4;0,0000;-2,5179E-4;0,0000;-4,0163E-4;0,0000;-4,4099E-4;0,0000;-3,6404E-4
