"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.467960400E-2;4.938040972E-1;9.935937077E-2;9.830592155E0;9.843488045E0
2.667257300E-2;5.033808947E-1;8.978256583E-2;9.821015358E0;9.834317256E0
2.866595900E-2;5.081692934E-1;9.935937077E-2;9.825803757E0;9.839437371E0
3.065991700E-2;5.081692934E-1;9.457096457E-2;9.816226959E0;9.829826622E0
3.265450000E-2;4.938040972E-1;8.499415964E-2;9.811438560E0;9.824224810E0
3.464976100E-2;4.794389009E-1;8.499415964E-2;9.816226959E0;9.828295752E0
3.664575000E-2;5.033808947E-1;1.041477770E-1;9.811438560E0;9.824895201E0
3.864246900E-2;4.890156984E-1;9.935937077E-2;9.811438560E0;9.824120076E0
4.063986500E-2;4.842272997E-1;8.499415964E-2;9.830592155E0;9.842877740E0
4.263788600E-2;4.842272997E-1;1.137245819E-1;9.811438560E0;9.824038680E0
4.463647900E-2;5.033808947E-1;8.020575345E-2;9.821015358E0;9.834234487E0
4.663554200E-2;5.129576921E-1;8.020575345E-2;9.825803757E0;9.839511066E0
4.863496900E-2;4.938040972E-1;8.978256583E-2;9.816226959E0;9.829049553E0
5.063465700E-2;5.033808947E-1;8.978256583E-2;9.830592155E0;9.843881113E0
5.263444800E-2;5.033808947E-1;8.020575345E-2;9.830592155E0;9.843798424E0
5.463424000E-2;4.890156984E-1;8.978256583E-2;9.821015358E0;9.833592422E0
5.663121900E-2;4.938040972E-1;9.457096457E-2;9.821015358E0;9.833876591E0
5.862793800E-2;4.985924959E-1;9.935937077E-2;9.821015358E0;9.834165416E0
6.062465700E-2;4.890156984E-1;9.935937077E-2;9.816226959E0;9.828902296E0
6.262137500E-2;5.033808947E-1;8.978256583E-2;9.821015358E0;9.834317256E0
6.461809400E-2;5.081692934E-1;9.457096457E-2;9.816226959E0;9.829826622E0
6.661481300E-2;4.938040972E-1;1.041477770E-1;9.811438560E0;9.824409187E0
6.861153200E-2;4.938040972E-1;8.978256583E-2;9.811438560E0;9.824267404E0
7.060825000E-2;5.129576921E-1;8.499415964E-2;9.830592155E0;9.844332975E0
7.260496900E-2;4.890156984E-1;8.978256583E-2;9.835380554E0;9.847939272E0
7.460168800E-2;5.033808947E-1;1.089361757E-1;9.821015358E0;9.834510770E0
7.659840700E-2;4.890156984E-1;8.020575345E-2;9.816226959E0;9.828727335E0
7.859512500E-2;4.985924959E-1;8.978256583E-2;9.830592155E0;9.843637413E0
8.059184400E-2;5.033808947E-1;1.041477770E-1;9.835380554E0;9.848804482E0
8.258856300E-2;4.842272997E-1;1.041477770E-1;9.835380554E0;9.847844103E0
8.458528200E-2;4.890156984E-1;1.041477770E-1;9.816226959E0;9.828951868E0
8.658200000E-2;4.938040972E-1;9.935937077E-2;9.811438560E0;9.824359592E0
8.857871900E-2;5.081692934E-1;9.935937077E-2;9.835380554E0;9.849000912E0
9.057543800E-2;4.938040972E-1;9.935937077E-2;9.830592155E0;9.843488045E0
9.257215700E-2;5.033808947E-1;8.020575345E-2;9.840168953E0;9.853362386E0
9.456887500E-2;4.890156984E-1;1.041477770E-1;9.840168953E0;9.852862941E0
9.656559400E-2;4.890156984E-1;8.499415964E-2;9.811438560E0;9.823985290E0
9.856231300E-2;4.985924959E-1;9.457096457E-2;9.816226959E0;9.829336186E0
1.005590320E-1;4.842272997E-1;8.020575345E-2;9.816226959E0;9.828490258E0
1.025557500E-1;4.985924959E-1;9.935937077E-2;9.821015358E0;9.834165416E0
1.045524690E-1;4.890156984E-1;8.499415964E-2;9.821015358E0;9.833549869E0
1.065491880E-1;4.890156984E-1;9.935937077E-2;9.835380554E0;9.848031239E0
1.085459070E-1;5.033808947E-1;8.020575345E-2;9.821015358E0;9.834234487E0
1.105426250E-1;5.081692934E-1;7.541735470E-2;9.811438560E0;9.824879156E0
1.125393440E-1;4.890156984E-1;8.020575345E-2;9.830592155E0;9.843074288E0
1.145360630E-1;4.842272997E-1;8.020575345E-2;9.825803757E0;9.838055118E0
1.165327820E-1;4.842272997E-1;1.041477770E-1;9.825803757E0;9.838279438E0
1.185295000E-1;4.938040972E-1;8.978256583E-2;9.835380554E0;9.848178209E0
1.205262190E-1;4.985924959E-1;9.457096457E-2;9.811438560E0;9.824554177E0
1.225229380E-1;5.081692934E-1;8.499415964E-2;9.811438560E0;9.824957337E0
1.245196570E-1;4.842272997E-1;1.041477770E-1;9.840168953E0;9.852626445E0
1.265163750E-1;4.938040972E-1;8.978256583E-2;9.830592155E0;9.843396036E0
1.285130940E-1;4.985924959E-1;8.978256583E-2;9.811438560E0;9.824509250E0
1.305098130E-1;5.081692934E-1;8.020575345E-2;9.840168953E0;9.853608172E0
1.325065320E-1;4.890156984E-1;1.089361757E-1;9.830592155E0;9.843350322E0
1.345032500E-1;5.033808947E-1;9.457096457E-2;9.816226959E0;9.829580241E0
1.364999690E-1;4.985924959E-1;8.978256583E-2;9.816226959E0;9.829291282E0
1.384966880E-1;4.890156984E-1;8.499415964E-2;9.816226959E0;9.828767577E0
1.404934070E-1;4.890156984E-1;8.978256583E-2;9.821015358E0;9.833592422E0
1.424901250E-1;4.842272997E-1;9.457096457E-2;9.840168953E0;9.852529866E0
1.444868440E-1;5.033808947E-1;8.978256583E-2;9.830592155E0;9.843881113E0
1.464835630E-1;4.938040972E-1;8.978256583E-2;9.816226959E0;9.829049553E0
1.484802820E-1;4.985924959E-1;9.935937077E-2;9.811438560E0;9.824601437E0
1.504770000E-1;4.890156984E-1;8.499415964E-2;9.835380554E0;9.847896781E0
1.524737190E-1;4.938040972E-1;8.499415964E-2;9.825803757E0;9.838571337E0
1.544704380E-1;5.129576921E-1;8.978256583E-2;9.835380554E0;9.849157180E0
1.564671570E-1;4.890156984E-1;9.457096457E-2;9.825803757E0;9.838419562E0
1.584638750E-1;4.985924959E-1;8.978256583E-2;9.830592155E0;9.843637413E0
1.604605940E-1;4.794389009E-1;9.457096457E-2;9.811438560E0;9.823600763E0
