"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
4.684444700E-2;-1.061399937E0;8.503399849E0;-4.956859970E1;5.030388111E1
5.684444700E-2;-1.000399947E0;8.503399849E0;-4.930019760E1;5.003816636E1
6.684444700E-2;-1.097999930E0;8.454599380E0;-4.919039917E1;4.992375412E1
7.684444700E-2;-1.232200027E0;8.454599380E0;-4.905619812E1;4.979466981E1
8.684444700E-2;-1.305400014E0;8.442399979E0;-4.897079849E1;4.971033385E1
9.684444700E-2;-1.256600022E0;8.430199623E0;-4.911719894E1;4.985124413E1
1.068444470E-1;-1.281000018E0;8.405799866E0;-4.915379715E1;4.988380706E1
1.168444470E-1;-1.378600001E0;8.356999397E0;-4.908060074E1;4.980607740E1
1.268444470E-1;-1.451799989E0;8.393599510E0;-4.900740051E1;4.974219075E1
1.368444470E-1;-1.512799978E0;8.369199753E0;-4.897079849E1;4.970383459E1
1.468444470E-1;-1.537199974E0;8.393599510E0;-4.890979767E1;4.964860325E1
1.568444470E-1;-1.561599970E0;8.381400108E0;-4.888539886E1;4.962326757E1
1.668444470E-1;-1.573799968E0;8.393599510E0;-4.888539886E1;4.962571492E1
1.768444470E-1;-1.549399972E0;8.418000221E0;-4.882439804E1;4.956899446E1
1.868444470E-1;-1.524999976E0;8.430199623E0;-4.883659744E1;4.958232690E1
1.968444470E-1;-1.488399982E0;8.393599510E0;-4.886100006E1;4.959904409E1
2.068444470E-1;-1.427399993E0;8.393599510E0;-4.901959991E1;4.975350399E1
2.168444470E-1;-1.342000008E0;8.405799866E0;-4.910499954E1;4.983732954E1
2.268444470E-1;-1.305400014E0;8.393599510E0;-4.915379715E1;4.988238523E1
2.368444470E-1;-1.293200016E0;8.356999397E0;-4.919039917E1;4.991199431E1
2.468444470E-1;-1.281000018E0;8.344799995E0;-4.917819977E1;4.989761498E1
2.568444470E-1;-1.329800010E0;8.320400238E0;-4.906839752E1;4.978659522E1
2.668444470E-1;-1.439599991E0;8.332599640E0;-4.895859909E1;4.968348911E1
2.768444470E-1;-1.451799989E0;8.344799995E0;-4.892200089E1;4.964982961E1
2.868444470E-1;-1.415199995E0;8.295999527E0;-4.886100006E1;4.958047727E1
